MOLD,DISC TYPE,SPEED,GLIDE,TURN,FADE,STABILITY,DIAMETER (cm),HEIGHT (cm),RIM DEPTH (cm),RIM WIDTH (cm),INSIDE RIM DIAMETER (cm),RIM DEPTH / DIAMETER RATION (%),RIM CONFIGURATION,BEAD
"Taurus
",Mid Range,4,4,0,4,4,21.7,2,1.5,1.4,19,6.9,66.75,Yes
"Temple
",Putt & Approach,4,3,0,3,3,21.3,1.7,1.4,1.2,18.9,6.6,53,No
"Tempo
",Putt & Approach,4,4,0,2.5,2.5,21.2,1.6,1.4,1.2,18.7,6.6,55.5,No
"Tensor
",Mid Range,4,4,0,2.5,2.5,21.5,2,1.3,1.2,19.1,6,46.75,No
"The Baron
",Mid Range,4,3,0,2.5,2.5,21.2,2,1.6,2.3,18.7,7.5,62.25,No
"Theory
",Mid Range,4,4,-1.5,1,-0.5,21.5,1.9,1.3,1.2,19.1,6,50,No
"Thor
",Mid Range,4,4,0,2,2,21.7,2.1,1.3,1.3,19.1,6,40.25,Yes
"Toro
",Putt & Approach,4,2,1,3,4,21.2,1.7,1.4,1.3,18.6,6.6,68.25,No
"Uranium
",Mid Range,4,2,0,2,2,21.2,1.5,1.4,1.3,18.7,6.6,49.5,No
"Vertex
",Mid Range,4,4,-2,0.5,-1.5,21.5,1.9,1.3,1.2,19,6,46.75,No
"VRoc
",Mid Range,4,4,0,1,1,21.8,2,1.3,1.4,19,6,43,No
"Walrus
",Mid Range,4,5,0,3,3,21.8,1.9,1.2,1.3,19.3,5.5,48.75,No
"Wedge
",Mid Range,4,3,-3,1,-2,21.2,1.7,1.2,1,19.2,5.7,47.25,No
"Wolf
",Mid Range,4,3,-4,1,-3,21.8,1.6,1.1,1.2,19.4,5,30.25,No
"Yao
",Mid Range,4,4,0,2,2,21.6,1.9,1.4,1.4,18.8,6.5,39.75,No
"Zone
",Putt & Approach,4,3,0,3,3,21.1,2,1.3,1.2,18.8,6.2,46,No
"Zone OS
",Putt & Approach,4,2,1,5,6,21.2,1.8,1.4,1.2,18.9,6.6,64.25,No
"Jarn
",Mid Range,4.5,3,0,3,3,21.3,1.8,1.4,1.3,18.8,6.6,51.5,No
"Addax
",Mid Range,5,5,0,2,2,21.7,1.7,1.3,1.5,18.7,6,39.25,Yes
"Addax V2
",Mid Range,5,5,0,1,1,21.5,1.6,1.3,1.4,18.6,6,45.5,No
"Aftershock
",Mid Range,5,4,0,2,2,21.5,2,1.2,1.3,18.9,5.6,38,No
"Anchor
",Mid Range,5,4,0,3,3,21.7,1.8,1.5,1.4,18.9,6.9,43.25,Yes
"Antidote
",Mid Range,5,5,0,1,1,21.5,2,1.3,1.3,18.9,6,43.25,No
"Anubis
",Mid Range,5,5,0,0,0,21.8,2.1,1.3,1.4,18.7,6,50,No
"Apollo
",Mid Range,5,5,-1,2,1,21.8,1.8,1.3,1.3,19.1,6,49.75,No
"Archer
",Mid Range,5,4,-4,1,-3,21.5,1.8,1.1,1.5,18.5,5.1,36,No
"Arcturus
",Mid Range,5,6,-1,0,-1,21.8,2,1.2,1.3,19.2,5.5,38.25,No
"Atlas
",Mid Range,5,4,0,1,1,21.8,1.7,1.4,1.4,19.1,6.4,46.25,No
"Avatar
",Mid Range,5,4,0,2,2,21.7,1.8,1.4,1.1,19,6.6,52.25,No
"Axis
",Mid Range,5,5,-1,1,0,21.8,2.1,1.3,1.3,19.2,6,43.75,No
"Badger
",Mid Range,5,3,0,3,3,21.4,1.6,1.3,1.5,18.3,6.1,42,No
"Bard
",Mid Range,5,4,0,3,3,21.7,1.9,1.3,1.5,18.8,6,42.5,No
"Barracuda
",Mid Range,5,4,-2,3,1,22.5,1.7,1.2,1.6,19.3,5.3,30.75,Yes
"Battleship
",Mid Range,5,4.5,0,2.5,2.5,21.4,1.8,1.4,1.4,18.5,6.5,50.5,No
"BB6
",Mid Range,5,5,-2,1,-1,21.3,2.1,1.3,1.2,18.8,6.1,58.5,No
"Beech
",Mid Range,5,2,0,3,3,21.9,1.8,1.3,1.6,18.7,5.9,39,Yes
"Berry
",Mid Range,5,5,-1,1,0,21.4,1.7,1.4,1.3,18.8,6.5,50.5,No
"Bobcat
",Mid Range,5,4,0,2.5,2.5,21.4,1.9,1.4,1.4,18.5,6.5,36,No
"Buzzz
",Mid Range,5,4,-1,1,0,21.7,1.9,1.3,1.2,19.3,6,44,No
"Buzzz GT
",Mid Range,5,5,0,1,1,21.5,1.7,1.3,1.3,19,6,44,No
"Buzzz OS
",Mid Range,5,4,0,3,3,21.7,1.7,1.2,1.3,19.1,5.5,45.75,No
"Buzzz SS
",Mid Range,5,4,-2,1,-1,21.6,2.1,1.3,1.3,19,6,43.5,No
"Chariot
",Mid Range,5,5,0,1,1,21.8,1.7,1.4,1.4,19,6.4,51.5,No
"Claymore
",Mid Range,5,5,-1,1,0,21.7,1.9,1.2,1.4,18.9,5.5,42.5,No
"Commander
",Mid Range,5,3,0,4,4,21.8,2.2,1.2,1.4,19,5.5,42,No
"Compass
",Mid Range,5,5,0,1,1,21.6,2.3,1.3,1.3,19,6,42.75,No
"Conquest
",Mid Range,5,4,-2,1,-1,21.6,1.6,1.1,1.3,19,5.1,37.5,No
"Cro
",Mid Range,5,3,0,2,2,21.2,2,1.4,1.3,18.5,6.6,48.5,No
"Crossbow
",Putt & Approach,5,5,-1,0,-1,21.9,1.6,1.2,1.4,19.1,5.5,32.75,No
"Deflector
",Mid Range,5,3.5,0,4,4,21.5,2,1.3,1.6,18.3,6,40,No
"Despair
",Mid Range,5,4,-1,1,0,21.4,2.1,1.4,1.3,18.8,6.5,46.25,No
"Dingo
",Mid Range,5,5,0,3,3,21.5,1.6,1.3,1.3,18.9,6,45,No
"Dragonfly
",Mid Range,5,4,-3,1,-2,21,1.6,1.1,1.4,19.1,5.2,43,No
"Drone
",Mid Range,5,3,1,4,5,21.5,2,1.3,1.5,18.5,6,41.25,No
"Echo
",Mid Range,5,5,-1.5,1,-0.5,21.4,1.6,1.3,1.5,18.5,6.1,42,No
"Eden
",Mid Range,5,4,0,2,2,21.3,2,1.3,1.3,18.7,6.1,47.75,No
"Element
",Mid Range,5,5,-1,1,0,22.1,1.7,1.3,1.3,19.6,5.9,39.5,No
"EMac Truth
",Mid Range,5,5,0,2,2,21.7,1.8,1.2,1.5,18.7,5.5,42.25,No
"Evidence
",Mid Range,5,5,-1,0,-1,21.7,1.8,1.2,1.4,18.7,5.5,41.25,No
"Eye
",Mid Range,5,5,-1,1,0,21.9,1.8,1.2,1.4,19,5.5,46.75,No
"Flip
",Mid Range,5,6,-4,1,-3,21.7,1.9,1.3,1.3,19.1,6,45.25,No
"Foxbat
",Mid Range,5,6,-1,0,-1,21.7,2.2,1.4,1.4,19,6.5,33.5,No
"Frag
",Mid Range,5,2,0,5,5,22.1,1.9,1.2,1.6,18.9,5.4,41,No
"Fugitive
",Mid Range,5,5,-0.5,1.5,1,21.8,2.1,1.3,1.4,19.1,6,39,Yes
"Fuse
",Mid Range,5,6,-1,0,-1,21.9,2.1,1.3,1.3,19.3,5.9,42.5,No
"Gator
",Mid Range,5,2,0,4,4,21.2,1.9,1.4,1.3,18.6,6.6,49.5,Yes
"Gator3
",Mid Range,5,2,0,3,3,21.2,1.8,1.4,1.5,18.2,6.6,49.5,Yes
"Gauge
",Mid Range,5,5,0,1,1,21.8,2.2,1.4,1.2,19.4,6.4,48.25,No
"Gila
",Mid Range,5,4,0,3,3,21,1.6,1.2,1.4,19.2,5.7,36.5,Yes
"Gremlin GM
",Mid Range,5,4,0,2,2,21.2,1.8,1.2,1.4,18.5,5.7,45.25,Yes
"Griffin
",Mid Range,5,3,1,3,4,21.2,2,1.3,1.7,17.8,6.1,33.25,No
"Griffon
",Mid Range,5,4,-2.5,0,-2.5,21.6,1.9,1.4,1.3,18.9,6.5,41.25,No
"Havran
",Mid Range,5,5,-1,1,0,22,2,1.3,1.4,19.2,5.9,42.5,No
"Hex
",Mid Range,5,5,-1,1,0,21.4,1.6,1.3,1.4,18.5,6.1,45,No
"Hornet
",Mid Range,5,5,0,4,4,21.5,1.9,1.3,1.3,18.9,6,41.5,No
"Ibex
",Mid Range,5,4,-1,1,0,21.5,2.4,1.3,1.3,18.9,6,46.25,No
"Inca
",Mid Range,5,5,0,3,3,21.7,1.9,1.4,1.3,19,6.5,36.25,No
"Interceptor
",Mid Range,5,4,0,3,3,21.1,1.5,1.1,1.4,18.2,5.2,49.5,No
"Jay
",Mid Range,5,4,0,1,1,21.7,1.7,1.2,1.4,18.9,5.5,45.75,No
"Jireh
",Mid Range,5,5,-1,1,0,21.6,2,1.4,1.3,19,6.5,44,Yes
"Justice
",Mid Range,5,1,0.5,4,4.5,21.3,1.7,1.3,1.5,18.3,6.1,39.5,No
"Kanto
",Mid Range,5,5,0,2,2,22.1,1.9,1.4,1.4,19.3,6.3,41.5,Yes
"Kapre
",Mid Range,5,5,-1,1,0,21.4,2.3,1.4,1.6,18.3,6.5,51.25,No
"Karma
",Mid Range,5,5,-1,3,2,21.9,1.9,1.1,1.4,19.1,5,42.5,Yes
"Kite
",Mid Range,5,6,-3,1,-2,21.2,1.9,1.3,1.6,17.9,6.1,36.25,No
"Kotuku
",Mid Range,5,5,0,2,2,21.7,1.7,1.4,1.4,19,6.5,48.75,No
"Kui
",Mid Range,5,5,0,2.5,2.5,21.2,2.1,1.3,1.6,17.9,6.1,35.75,No
