MOLD,DISC TYPE,SPEED,GLIDE,TURN,FADE,STABILITY,DIAMETER (cm),HEIGHT (cm),RIM DEPTH (cm),RIM WIDTH (cm),INSIDE RIM DIAMETER (cm),RIM DEPTH / DIAMETER RATION (%),RIM CONFIGURATION,BEAD
"Zheng
",Mid Range,5,5,0,2,2,21.8,1.7,1.3,1.3,19.1,6,40.5,No
"Caiman
",Mid Range,5.5,2,0,4,4,21.1,1.7,1.4,1.4,18.3,6.6,66.5,No
"Code
",Mid Range,5.5,4,-0.5,2,1.5,21.2,1.6,1.2,1.4,18.3,5.7,32.5,No
"Code-X
",Mid Range,5.5,5,-1,2,1,21.2,1.6,1.2,1.4,18.3,5.7,36.75,No
"Croc
",Mid Range,5.5,2,0,5,5,21.1,2,1.4,1.4,18.3,6.6,56.25,No
"Jaguar
",Mid Range,5.5,6,-3,2,-1,24.1,1.7,1.4,1.6,20.9,5.8,36,No
"The Duchess
",Mid Range,5.5,5,-1,2,1,21.3,1.7,1.1,1.8,17.8,5.2,36.5,No
"The Duke
",Mid Range,5.5,4,0,3.5,3.5,21.5,1.9,1.4,1.7,18.1,6.5,35.25,No
"Ascend
",Control Driver,6,5,-3,0.5,-2.5,21.2,1.8,1.2,1.7,17.8,5.7,38,No
"Blaze
",Mid Range,6,4,0,3,3,21.1,1.9,1.2,1.7,17.7,5.7,30.25,No
"Cheetah
",Control Driver,6,4,-2,2,0,21.2,1.9,1.2,1.6,18,5.7,28.25,No
"Contrail
",Control Driver,6,5,0,2,2,21,1.5,1.3,1.6,17.7,6.2,39.25,No
"Core
",Mid Range,6,5,-0.5,1,0.5,21.7,2,1.2,1.4,18.9,5.5,48,No
"Demon
",Mid Range,6,4,0,4,4,21.1,1.9,1.2,1.7,17.7,5.7,30.25,No
"Flatline
",Control Driver,6,5,-0.5,1,0.5,21.2,1.6,1.1,1.6,18,5.2,32,No
"Gargoyle
",Control Driver,6,3,-1,2,1,21.2,2,1.2,1.4,18.4,5.7,43.5,No
"Gazelle
",Control Driver,6,4,0,2,2,21.2,1.8,1.2,1.6,18,5.7,28.25,No
"Glide
",Mid Range,6,5,-3,1,-2,21.5,2,1.3,1.5,18.6,6,36.5,No
"Gobi
",Mid Range,6,5,-0.5,1,0.5,21.7,1.8,1.3,1.4,18.8,6,37.5,No
"Helios
",Control Driver,6,5,-3,1,-2,21,1.6,1.1,1.6,17.7,5.2,34,No
"Impact
",Mid Range,6,6,-3,1,-2,21.6,2,1.3,1.3,19,6,33.75,No
"Jiao
",Control Driver,6,5,-2,1.5,-0.5,21.2,1.6,1.1,1.6,18,5.2,32,No
"Kaxe
",Mid Range,6,4,0,3,3,21,1.9,1.3,1.5,18,6.2,34,Yes
"Kaxe Z
",Mid Range,6,5,0,2,2,21.1,1.9,1.3,1.5,18,6.2,34,No
"Leopard
",Control Driver,6,5,-2,1,-1,21.2,1.6,1.1,1.6,18,5.2,29.25,No
"M Model OS
",Mid Range,6,4,-1,3,2,21.7,1.9,1.4,1.3,19.1,6.5,45.25,No
"M Model S
",Mid Range,6,4,0,3,3,21.7,2,1.5,1.3,19.1,6.9,47.25,No
"Magician
",Control Driver,6,4,0,2,2,21.2,1.8,1.3,1.6,17.9,6.1,39.75,No
"Midgard
",Control Driver,6,5,-1,1,0,21.1,1.7,1.1,1.8,17.5,5.2,32.5,No
"Moab
",Control Driver,6,4,1,5,6,21.8,1.7,1.2,1.8,18.4,5.7,38.25,No
"No1 Hookshot
",Control Driver,6,4,0,3,3,22.2,1.7,1.5,1.5,19.2,6.8,32.5,No
"No2 Roller
",Control Driver,6,6,-2,2,0,23.6,2.1,1.4,1.7,19.2,5.9,30.25,No
"No2 Slice
",Control Driver,6,5,-3,1,-2,21.6,2,1.1,1.3,19,5.1,27.25,No
"No3 Driver
",Control Driver,6,5,-2,3,1,22.5,2,1.2,1.6,19.3,5.3,29.75,No
"No3 Slice
",Mid Range,6,5,-3,1,-2,21.7,1.9,1.1,1.4,18.9,5.1,34,No
"Pelican
",Control Driver,6,5,-3,1,-2,21.1,2,1.2,1.7,17.7,5.7,29.5,No
"Polaris LS
",Control Driver,6,4,-1,1,0,21.1,1.9,1.1,1.6,17.9,5.2,35,No
"Radium
",Mid Range,6,4,-1,2,1,21.9,2,1.1,1.5,18.9,5.3,43.25,No
"Ram
",Control Driver,6,4,1,4,5,21.7,1.9,1.3,1.8,18.1,6,27.5,No
"Raven
",Control Driver,6,4,-2,2,0,21.7,1.9,1.2,1.6,18.5,5.5,29.25,Yes
"Relay
",Control Driver,6,5,-2,1,-1,21.1,1.5,1.2,1.7,17.7,5.7,35.75,No
"River Pro
",Control Driver,6,5,0,2,2,21.4,1.8,1.3,1.8,17.8,6.1,34,No
"Scout
",Mid Range,6,5,-1,2,1,21.8,2.1,1.1,1.4,19,5,58.75,No
"Signal
",Control Driver,6,5,-3,1,-2,21.1,1.5,1.2,1.2,17.7,5.7,35.5,No
"Squall
",Mid Range,6,4,-1,1,0,21.5,1.8,1.3,1.3,18.6,6,34.5,No
"Stig
",Mid Range,6,5,-2,1,-1,21.1,1.9,1.2,1.6,18,5.7,39,No
"Stryder
",Mid Range,6,4,0,3,3,21.8,2,1.5,1.3,19.2,6.9,48.75,No
"Tremor
",Mid Range,6,5,-4,1,-3,21.6,1.7,1.1,1.4,18.8,5.1,39.25,No
"Trident
",Control Driver,6,4,-0.5,3,2.5,21.4,1.4,1.1,1.9,17.6,5.1,36.75,No
"Viper
",Control Driver,6,4,1,5,6,21.7,2,1.3,1.6,18.5,6,29.25,No
"Whippet
",Control Driver,6,3,1,5,6,21.2,1.9,1.3,1.7,17.8,6.1,26,No
"Xtreme
",Control Driver,6,3,1,4,5,21,1.9,1.2,1.7,17.7,5.7,29,No
"Zombee
",Control Driver,6,4,-1,1,0,21.6,2.1,1.2,1.6,18.4,5.6,34.75,No
"Clash
",Control Driver,6.5,4,-1,2,1,21.1,1.4,1.1,1.8,17.5,5.2,33.5,No
"Crave
",Control Driver,6.5,5,-1,1,0,21.1,1.4,1.2,1.8,17.4,5.7,27.75,No
"Inspire
",Control Driver,6.5,5,-1.5,1,-0.5,21.1,1.5,1.2,1.8,17.4,5.7,32.75,No
"Resistor
",Control Driver,6.5,4,0,3.5,3.5,21.1,1.5,1.2,1.7,17.5,5.7,31.75,No
"Servo
",Control Driver,6.5,5,-1,2,1,21.1,1.4,1.2,1.8,17.5,5.7,32,No
"Switch
",Control Driver,6.5,5,-1.5,1,-0.5,21.1,1.4,1.2,1.8,17.5,5.7,31,No
"Athena
",Control Driver,7,5,0,2,2,21.3,1.5,1.1,1.8,16.6,5.2,30,No
"Banshee
",Control Driver,7,3,0,3,3,21.2,1.5,1.2,1.8,17.6,5.7,29.25,No
"Barbarian
",Control Driver,7,5,0,2,2,21.3,1.8,1.2,1.9,17.6,5.6,35.75,No
"Brazos
",Control Driver,7,5,0,2,2,21.2,1.7,1.1,1.8,17.7,5.2,29.25,No
"Centurion
",Control Driver,7,5,-1,1.5,0.5,21.1,1.8,1.2,1.7,17.8,5.7,37,No
"Cinder
",Control Driver,7,5,0,2,2,21.2,2.2,1.3,1.9,17.5,6.1,30.25,No
"Cookie
",Control Driver,7,5,0,2,2,21.4,1.7,1.2,1.8,17.8,5.6,35.5,No
"Cosmos
",Control Driver,7,5,0,1,1,21,1.6,1.1,1.8,17.4,5.2,28.5,No
"Cyclone
",Control Driver,7,4,-1,2,1,21.3,1.8,1.2,1.6,18.1,5.6,26,No
"Drift
",Control Driver,7,5,-2,1,-1,21.2,1.8,1.2,1.8,17.7,5.7,33,No
"Eagle
",Control Driver,7,4,-1,3,2,21.2,1.6,1.2,1.7,17.8,5.7,29.5,No
"Eclipse
",Control Driver,7,5,-2,2,0,22,1.6,1.2,1.4,19.2,5.5,26,No
"Evader
",Control Driver,7,4,0,2.5,2.5,21.2,1.9,1.1,1.8,17.5,5.2,26.75,No
"Exodus
",Control Driver,7,5,-0.5,2,1.5,21.1,1.8,1.1,1.8,17.5,5.2,36.25,No
"EXP-X
",Control Driver,7,3,1,4,5,21.1,1.6,1.2,1.8,17.5,5.7,28.25,No
"EXP1
",Control Driver,7,3,0,4,4,21.1,1.6,1.2,1.8,17.5,5.7,28.25,No
"Explorer
",Control Driver,7,5,0,2,2,21.2,1.7,1.1,1.8,17.7,5.2,32.75,No
"F1
",Control Driver,7,4,0,3,3,21.3,1.5,1.1,1.8,17.7,5.2,27.25,No
"F2
",Control Driver,7,5,-1,3,2,21.3,1.5,1.1,1.8,17.7,5.2,32.75,No
"F3
",Control Driver,7,5,-1,2,1,21.3,1.5,1.1,1.8,17.7,5.2,31.5,No
"F5
",Control Driver,7,5,-2,1,-1,21.3,1.9,1.2,1.8,17.7,5.6,35.75,No
"F7
",Control Driver,7,5,-3,1,-2,21.3,1.5,1.1,1.8,17.8,5.2,37,No
"Fairway Disc Dark Rebel
",Control Driver,7,6,-1,1,0,21.2,1.6,1.2,1.8,17.5,5.7,35.75,No
"FD
",Control Driver,7,6,0,1,1,21.2,1.4,1.1,1.7,17.7,5.2,39,No
"FD1
",Control Driver,7,4,0,2,2,21.2,1.7,1.1,1.8,17.6,5.2,36.25,No
"FD2
",Control Driver,7,4,0,2,2,21.2,1.6,1.1,1.8,17.5,5.2,33.75,No
"Frio
",Control Driver,7,5,-1,1,0,21.1,1.6,1.1,1.8,17.6,5.2,32.5,No
"Frontier
",Control Driver,7,5,-3,1,-2,21.2,2,1.2,1.9,17.4,5.7,26,No
"FU
",Control Driver,7,5,0,2,2,21.3,1.8,1.2,1.9,17.5,5.6,28.5,No
"Genius
",Control Driver,7,5,-4,1,-3,21.1,1.7,1.2,1.7,17.7,5.7,29.5,No
"Glory
",Control Driver,7,5,0,3,3,21.2,1.8,1.1,1.8,17.6,5.2,33,No
"Grackle
",Control Driver,7,5,-1,2,1,21.3,1.6,1.2,1.9,17.5,5.6,33.75,No
"Guadalupe
",Control Driver,7,6,-2,2,0,21.4,1.6,1.1,1.9,17.7,5.1,32.5,No
"Hawkeye
",Control Driver,7,5,-1,1,0,21.1,1.7,1.2,1.8,17.5,5.7,35.75,No
"Huia
",Control Driver,7,5,0,2,2,21.2,1.9,1.2,1.8,17.5,5.7,33.75,No
"Hybrid
",Control Driver,7,4,-0.5,3,2.5,21.2,2.2,1.3,1.7,17.8,6.1,32.5,No
"Instinct
",Control Driver,7,5,0,2,2,21.2,1.9,1.1,1.8,17.6,5.2,32.25,No
"IT
",Control Driver,7,6,-2,1,-1,21.2,1.6,1.2,1.8,17.5,5.7,38.75,No
"JLS
",Control Driver,7,5,-1,1,0,21,1.5,1.1,1.6,17.8,5.2,30.75,No
"Kraken
",Control Driver,7,5,-1,1,0,21.1,1.5,1.2,1.9,17.4,5.7,28.75,No
"Leopard3
",Control Driver,7,5,-2,1,-1,21.2,1.7,1.1,1.7,17.8,5.2,29.25,No
"Maul
",Control Driver,7,7,-2,1,-1,21.4,2,1.1,1.8,17.7,5.1,33,No
"Maverick
",Control Driver,7,4,-1.5,2,0.5,21.2,1.8,1.1,1.7,17.8,5.2,35,No
"Mermaid
",Control Driver,7,4,-1,2,1,21.3,1.8,1.2,1.9,17.5,5.6,41.75,No
"Mockingbird
",Control Driver,7,5,-2,1,-1,21,2,1.2,1.8,17.5,5.7,28.75,No
"Night Trooper
",Control Driver,7,6,-1,1,0,21,1.5,1.1,1.8,17.5,5.2,29.25,No
"No1 Driver
",Control Driver,7,4,-2,2,0,21.4,1.5,1.1,1.6,18.2,5.1,28.75,No
"No1 Hyzer
",Control Driver,7,3,0,4,4,21.7,1.8,1.3,1.8,18.1,6,29.25,No
"No1 Roller
",Control Driver,7,4,-1,0.5,-0.5,21.7,1.7,1.1,1.8,18.1,5.1,30.75,No
"No1 Slice
",Mid Range,7,4,-3,2,-1,22.6,1.8,1.2,1.4,19.8,5.3,27.75,No
"No3 Flyer
",Control Driver,7,4,-2,2,0,22.3,2,1.2,1.5,19.2,5.4,36.25,No
"No4 Driver
",Control Driver,7,4,-1,2,1,21.2,1.7,1.1,1.7,17.9,5.2,26.75,No
"Notch
",Control Driver,7,3,0,4.5,4.5,21,2,1.2,1.9,17.2,5.7,36.75,No
"Patriot
",Control Driver,7,5,-2,1,-1,21.2,1.8,1.1,1.8,17.6,5.2,28.25,No
"Pegasus
",Control Driver,7,4,-1,3,2,21.1,1.7,1.1,1.7,17.7,5.2,31.75,No
"Phantom Warrior
",Control Driver,7,5,0,2,2,21.3,2,1.2,1.8,17.8,5.6,29.25,No
"Ptero
",Control Driver,7,5,-1,1,0,21.2,1.7,1.1,1.8,17.6,5.2,33.25,No
"Python
",Control Driver,7,3,-1,2,1,21.7,1.7,1.1,1.9,17.9,5.1,31.25,No
"Quantum Vela
",Control Driver,7,4,-1.5,2,0.5,21.2,1.8,1.2,1.8,17.6,5.7,43.75,No
"Rhythm
",Control Driver,7,5.5,-2,1,-1,21.2,1.5,1.2,1.8,17.6,5.7,30.25,No
"Rival
",Control Driver,7,5,0,2,2,21.3,2,1.2,1.8,17.8,5.6,29.25,No
"River
",Control Driver,7,7,-1,1,0,21.5,1.9,1.2,1.8,17.8,5.6,30.5,No
"Sabre
",Control Driver,7,5,-1,1,-1,21.2,1.8,1.2,1.7,17.8,5.7,27,No
"Seer
",Control Driver,7,5,-2,1,-1,21.2,1.8,1.1,1.8,17.7,5.2,42.5,No
"Shard
",Control Driver,7,5,-1.5,1,-0.5,21.2,1.5,1.2,1.9,17.4,5.7,28,No
"Shooting Star
",Control Driver,7,5,-2,1,-1,21,1.8,1.2,1.8,17.4,5.7,26.25,No
"Sirius Helio Vela
",Control Driver,7,4,-0.5,3,2.5,21.2,1.8,1.2,1.8,17.6,5.7,43.75,No
"Soda
",Control Driver,7,5,-2,2,0,21.4,2,1.2,1.8,17.8,5.6,31.5,No
"Spark
",Control Driver,7,4,-0.5,3,2.5,21.2,1.5,1.1,1.9,17.4,5.2,34,No
"Stalker
",Control Driver,7,5,-1,2,1,21.6,1.6,1.2,1.6,18.4,5.6,32.5,No
"Sting
",Control Driver,7,5,-2,1,-1,21.4,1.8,1.2,1.6,18.2,5.6,36.25,No
"Strike
",Control Driver,7,5,0,1,1,21.3,1.8,1.2,1.8,17.7,5.6,30.5,No
"Sycamore
",Control Driver,7,5,0,1,1,21.2,2.2,1.3,1.7,17.8,6.1,32.25,No
"TeeBird
",Control Driver,7,5,0,2,2,21.2,1.5,1.1,1.7,17.8,5.2,29.25,No
"TeeBird +
",Control Driver,7,5,0,2,2,21.2,1.5,1.1,1.7,17.8,5.2,29.25,No
"TL
",Control Driver,7,5,-1,1,0,21.1,1.6,1.2,1.8,17.5,5.7,33,No
"Trak
",Control Driver,7,4,-1,2,1,21,1.7,1.2,1.9,17.2,5.7,33.25,No
"Tyrant
",Control Driver,7,3,0,2.5,2.5,21.2,1.4,1.1,1.8,17.6,5.2,28,No
"Underworld
",Control Driver,7,6,-3,1,-2,21.3,1.8,1.2,1.9,17.4,5.6,30.25,No
"Valley
",Control Driver,7,5,-1,1,0,21,1.9,1.1,1.8,17.4,5.2,31.25,No
"Vamp
",Control Driver,7,5,-2,1,-2,21,1.9,1.2,1.9,17.2,5.7,34.75,No
"Veteran
",Control Driver,7,4,0,3,3,21.1,1.8,1.2,1.8,17.5,5.7,29,No
"View
",Control Driver,7,6,-3.5,1,-2.5,21.1,2,1.2,1.7,17.6,5.7,32.75,No
"Vortex
",Control Driver,7,6,-3,1,-2,21.4,1.6,1.1,1.7,17.9,5.1,33.25,No
"Votum
",Control Driver,7,5,0,3,3,21.2,1.7,1.2,1.8,17.5,5.7,36.25,No
"War Bear
",Control Driver,7,5,-3,1,-2,21.2,1.8,1.1,1.7,17.9,5.2,35.75,No
"White Raven
",Control Driver,7,6,-3,1,-2,21.1,1.7,1.3,1.6,17.8,6.2,31.5,No
"XL
",Control Driver,7,4,-2,1,-1,21.1,2.1,1.2,1.7,17.7,5.7,32.25,No
"XXX
",Control Driver,7,3,0,4,4,21.5,1.5,1.1,2,17.5,5.1,32.5,No
"Zhu
",Control Driver,7,5,0,2,2,21.3,1.8,1.2,1.9,17.5,5.6,38,No
"Abyss
",Control Driver,8,4,0,3,3,21.1,1.6,1.1,2,17.1,5.2,31.75,No
"Alpha
",Control Driver,8,4,0,2,2,21.1,2.1,1.2,2,17.1,5.7,30.5,No
"Amp
",Control Driver,8,5,-1.5,1,-0.5,21,1.7,1.1,1.9,17.2,5.2,26,No
"Aquarius
",Distance Driver,8,5,-3,2,-1,21,1.9,1.2,2,17,5.7,30,No
"Arch
",Control Driver,8,5,0,2,2,21,1.9,1.1,1.8,17.4,5.2,34,No
"Archangel
",Control Driver,8,6,-4,1,-3,21.1,1.9,1.4,1.8,17.3,7.1,31.25,No
"Ascent
",Distance Driver,8,4,0,3,3,21.1,1.6,1.2,1.9,17.3,5.7,30,No
"Banzai
",Control Driver,8,4,0,3,3,21.4,1.7,1.2,1.9,17.5,5.6,30,No
"Bear
",Control Driver,8,6,-0.5,2.5,2,21.2,1.8,1.2,1.9,17.4,5.7,30.25,No
"Binx
",Control Driver,8,5,0,1,1,21.4,1.7,1.2,1.7,18,5.6,27.75,No
"Blackout
",Control Driver,8,5,-2,1,-1,21.2,1.9,1.2,1.9,17.4,5.7,28.5,No
"Breakout
",Control Driver,8,5,-1,1.5,0.5,21,1.6,1.1,1.9,17.2,5.2,32.75,No
"Cipher
",Control Driver,8,4,-1,2,1,21.6,1.8,1.2,1.8,17.9,5.6,32.75,No
"Cosmic
",Control Driver,8,6,0,2,2,21.2,2,1.2,1.9,17.5,5.7,31.25,No
"Diamond
",Control Driver,8,6,-3,1,-2,21.1,1.4,1.1,1.8,17.4,5.2,30,No
"Dos X
",Control Driver,8,4,-1,2,1,21.3,1.9,1.2,2,17.3,5.6,32.25,No
"Dragon
",Control Driver,8,5,-2,2,0,21,1.9,1.2,1.8,17.4,5.7,32,No
"Essence
",Control Driver,8,6,-2,1,-1,21,1.8,1.2,1.8,17.4,5.7,33.25,No
"Falchion
",Control Driver,8,5,-1,2,1,21.1,1.6,1.1,1.9,17.3,5.2,34.5,No
"Firehawk
",Control Driver,8,5,-2,1,-1,21.3,1.9,1.2,1.8,17.7,5.6,26.25,No
"Gou
",Control Driver,8,5,-3.5,1,-2.5,21.3,1.8,1.2,1.9,17.4,5.6,33.75,No
"Jackalope
",Control Driver,8,5,-2,1,-1,21.2,1.5,1.1,1.9,17.3,5.2,32.75,No
"Lotus
",Control Driver,8,5,-1,2,1,21.4,1.6,1.3,1.9,17.6,6.1,32.5,No
"Mantis
",Control Driver,8,4,-2,2,0,21.2,1.9,1.1,1.9,17.4,5.2,28,No
"Minotaur
",Control Driver,8,3,0,3,3,21.6,2,1.2,1.9,17.8,5.6,32.75,No
"Nice
",Control Driver,8,7,-2,2,0,21.4,1.7,1.1,1.8,17.8,5.1,29,No
"No1 Flyer
",Control Driver,8,5,-2,2,0,21.4,1.5,1.1,1.6,18.2,5.1,27.75,No
"No1 Helix
",Control Driver,8,4,-1,3,2,21.5,1.6,1.3,1.6,18.3,6,31.25,No
"No2 Driver
",Control Driver,8,5,-2,2,0,21.4,2,1.2,1.6,18.2,5.6,29,No
"No2 Flyer
",Control Driver,8,5,-1,2,1,22.4,1.8,1.2,1.5,19.4,5.4,30.75,No
"No2 Helix
",Control Driver,8,5,-1,3,2,21.2,1.7,1.4,1.7,17.8,6.6,34,No
"Onyx
",Control Driver,8,6,-3,1,-2,21,1.8,1.1,1.8,17.3,5.2,30.75,No
"Passion
",Control Driver,8,5,-1,1,0,21.6,1.6,1.2,1.7,18.3,5.6,32,No
"Phenom
",Control Driver,8,5,-1,2,1,21.2,1.7,1.2,1.8,17.7,5.7,33.25,No
"Pipeline
",Control Driver,8,5,0,2,2,21.4,1.5,1.1,1.8,17.8,5.1,31,No
"Reaper
",Control Driver,8,3,0,4,4,21.4,1.5,1.2,1.8,17.8,5.6,29.5,No
"Respecti
",Control Driver,8,4,0,2,2,21,1.8,1.3,1.9,17.2,6.2,33.25,No
"Rockstar
",Control Driver,8,5,-2,1,-1,21.3,1.7,1.2,1.9,17.6,5.6,35.5,No
"Ronin
",Control Driver,8,4.5,0,2,2,21.3,1.9,1.2,1.9,17.4,5.6,31.5,No
"Saint Pro
",Control Driver,8,5,-0.5,2,1.5,21.2,2,1.2,1.8,17.5,5.7,33,No
"Shock
",Control Driver,8,5,0,2.5,2.5,21.1,1.6,1.1,1.9,17.2,5.2,29.75,No
"Stag
",Control Driver,8,6,-1,2,1,21.2,1.8,1.2,1.9,17.4,5.7,29.25,No
"Stork
",Control Driver,8,5,0,1,1,21.3,1.7,1.2,1.9,17.5,5.6,33.75,No
"Striker
",Control Driver,8,5,0,2,2,21.4,1.6,1.2,1.9,17.6,5.6,29,No
"Talon
",Control Driver,8,3,1,3,4,21,1.5,1.1,1.8,17.5,5.2,28.25,No
"TeeBird3
",Control Driver,8,4,0,2,2,21.2,1.7,1.1,1.8,17.5,5.2,29.25,No
"Terra
",Control Driver,8,5,0,3,3,21.2,1.8,1.2,1.9,17.4,5.7,32.75,No
"The Count
",Control Driver,8,4,-1,2,1,21.5,1.7,1.1,1.4,18.7,5.1,35.5,No
"The Dome
",Control Driver,8,6,-3,1,-2,21.1,1.8,1.1,1.9,17.2,5.2,36,No
"Thief
",Control Driver,8,5,-1.5,2,0.5,21.2,1.8,1.1,1.9,17.3,5.2,34.25,No
"Tiyanak
",Control Driver,8,5,-5,1,-4,21.2,2,1.2,2,17.3,5.7,33.75,No
"TL3
",Control Driver,8,4,-1,1,0,21.2,1.7,1.1,1.8,17.6,5.2,33,No
"Tracker
",Control Driver,8,5,-1,3,2,21.2,1.7,1.2,1.8,17.7,5.7,32.5,No
"Trance
",Control Driver,8,5,-2,1,-1,21,1.8,1.2,1.9,17.1,5.7,41.25,No
"Vein
",Control Driver,8,4,0,2,2,21.3,1.9,1.3,1.8,17.4,6.1,27.75,No
"Vigil
",Control Driver,8,6,-2,2,0,21.7,1.5,1.1,1.9,17.9,5.1,32.5,No
"Vision
",Control Driver,8,6,-1,2,1,21.1,1.9,1.1,1.8,17.4,5.2,33,No
"Volt
",Control Driver,8,5,-0.5,2,1.5,21.1,1.6,1.1,2,17.1,5.2,28.25,No
"Witness
",Control Driver,8,6,-3,1,-2,21.1,1.8,1.1,1.9,17.3,5.2,32.25,No
"Xpress
",Control Driver,8,5,-3,1,-2,21.1,1.8,1.2,1.7,17.6,5.7,28,No
"XS
",Control Driver,8,5,0,3,3,21.1,1.8,1.2,1.8,17.6,5.7,27.5,No
"Chameleon
",Control Driver,8.5,5,-1,2,1,21.2,1.8,1.1,2,17.1,5.2,39.75,No
"Ahti
",Control Driver,9,3,0,4,4,21.2,1.7,1.1,2,17.2,5.2,28.75,No
"Assassin
",Control Driver,9,6,-1,1,0,21,1.9,1.1,1.9,17.1,5.2,34.5,No
"Bandit
",Control Driver,9,5,-2,1,-1,21.3,1.5,1.1,2,17.3,5.2,30.75,No
"Bi
",Control Driver,9,5,-1,2,1,21.2,1.7,1.2,1.9,17.3,5.7,28.75,No
"Blade
",Control Driver,9,5,0,3,3,21.3,1.5,1.1,2,17.3,5.2,34,No
"Bryce
",Control Driver,9,6,-2,2,0,21.2,1.7,1.1,2,17.2,5.2,28.25,No
"Buffalo
",Distance Driver,9,4,-1,5,4,21,1.6,1.2,2,17,5.7,34,No
"Captain Raptor
",Distance Driver,9,3,1,4,5,21.2,1.6,1.2,1.9,17.4,5.7,30.25,No
"CD1
",Control Driver,9,5,-1,2,1,21.2,1.7,1.1,1.9,17.3,5.2,31.25,No
"CD2
",Control Driver,9,5,-1,2,1,21.1,1.9,1.1,1.9,17.2,5.2,30,No
"Chromium
",Control Driver,9,5,-1,1,0,21.1,2,1.2,2,17.2,5.7,31.25,No
"Chupacabra
",Control Driver,9,3,0,4,4,21.2,1.6,1.2,2,17.2,5.7,30.5,No
"Cinnamon
",Control Driver,9,5,-1,2,1,21.1,1.6,1.2,2,17.1,5.7,30.5,No
"Coalesce
",Control Driver,9,5,0,3,3,21.2,1.9,1.2,1.9,17.4,5.7,32.5,No
"Convict
",Control Driver,9,4,-0.5,3,2.5,21.2,1.4,1.1,2,17.2,5.2,34.75,No
"Culverin
",Control Driver,9,5,-0.5,3,2.5,21.2,2,1.1,2,17,5.2,31.25,No
"Diablo
",Distance Driver,9,5,0,2,2,21.2,1.7,1.2,2,17.1,5.7,32.5,No
"Diamondback
",Control Driver,9,5,-2,2,0,21.3,1.6,1.1,2.1,17.1,5.2,31.25,No
"Draco
",Control Driver,9,3,0,4,4,21.2,1.4,1.2,1.9,17.3,5.7,35.5,No
"Drifter
",Control Driver,9,4,-1,2,1,21.1,1.7,1.2,1.9,17.3,5.7,27,No
"Dynasty
",Control Driver,9,5,-1,2,1,21.1,1.4,1.1,1.9,17.3,5.2,31.25,No
"Enemy
",Control Driver,9,3,0,4,4,21.1,1.9,1.2,1.9,17.2,5.7,32.5,No
"Escape
",Control Driver,9,5,-1,2,1,21.1,2,1.1,2,17.1,5.2,27.75,No
"Falk
",Control Driver,9,6,-2,1,-1,21.1,1.8,1.1,1.9,17.2,5.2,30.25,No
"FD3
",Control Driver,9,4,0,3,3,21.3,1.7,1.1,2,17.3,5.2,33.25,No
"Felon
",Control Driver,9,3,0.5,4,4.5,21.2,1.8,1.1,2,17.2,5.2,31.5,No
"Fireball
",Distance Driver,9,3.5,0,3.5,3.5,21.1,1.4,1.1,2,17.1,5.2,29.5,No
"Firebird
",Control Driver,9,3,0,4,4,21.1,1.4,1.2,1.9,17.3,5.7,26.75,No
"FL
",Control Driver,9,3,0,2,2,21.1,1.7,1.2,1.9,17.3,5.7,29.25,No
"Flare
",Distance Driver,9,4,0,3.5,3.5,21.2,1.8,1.2,2,17.2,5.7,29.5,No
"Flipperi
",Control Driver,9,3,-3,0,-3,21.2,1.7,1.2,2,17.2,5.7,26,No
"Fury
",Control Driver,9,6,-2,2,0,21.2,1.8,1.1,1.9,17.4,5.2,36.75,No
"FX-2
",Control Driver,9,4,-1,3,2,21.1,1.6,1.2,2,17.1,5.7,29.25,No
"FX-3
",Control Driver,9,4,-1.5,2,0.5,21.2,1.8,1.2,1.9,17.3,5.7,29.25,No
"FX-4
",Control Driver,9,5,-2,1,-1,21.2,1.8,1.2,2,17.3,5.7,32.25,No
"Getaway
",Control Driver,9,5,-0.5,3,2.5,21.1,1.8,1.1,2,17.1,5.2,28.75,No
"Ginger
",Control Driver,9,4,0,2,2,21.4,1.7,1.3,1.9,17.6,6.1,26.5,No
"Grunt
",Control Driver,9,5,-1,2,1,21,1.7,1.2,2,17,5.7,32.25,No
"H2
",Control Driver,9,5,0,2,2,21.3,1.7,1.2,1.9,17.5,5.6,30.75,No
"H3
",Control Driver,9,4,0,2,2,21.3,1.7,1.2,2,17.3,5.6,34.5,No
"H4
",Control Driver,9,5,-2,1.5,-0.5,21.3,1.8,1.2,1.9,17.4,5.6,41.75,No
"H5
",Control Driver,9,5,-3,1,-2,21.3,1.7,1.2,2,17.4,5.6,37.5,No
"H7
",Control Driver,9,5,-4,1,-3,21.1,2,1.1,1.9,17.2,5.2,31.25,No
"Hatchet
",Control Driver,9,6,-2,1,-1,21.3,2,1.2,1.9,17.6,5.6,27,No
"Haymaker
",Control Driver,9,4,0,4,4,21.2,1.8,1.2,2,17.2,5.7,31.5,No
"Heat
",Control Driver,9,6,-3,1,-2,21.1,2.1,1.2,1.9,17.2,5.7,29.5,No
"Honor
",Control Driver,9,5,0,2.5,2.5,21.2,1.8,1.1,1.9,17.4,5.2,31.75,No
"Hu
",Control Driver,9,5,-2,2,0,21.2,1.8,1.1,1.9,17.4,5.2,31.75,No
